InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount
INV500026,SC94478,REGENCY CAKESTAND 3 TIER,19,2022-02-20 14:27:55.055011,6.6,C1299,United Kingdom,125.39999999999999
INV500027,SC28431,VINTAGE UNION JACK MEMOBOARD,15,2023-09-08 09:34:40.496099,1.97,C1394,Netherlands,29.55
INV500028,SC12747,VINTAGE UNION JACK MEMOBOARD,6,2022-09-22 09:19:07.189437,1.79,C1251,United Kingdom,10.74
INV500029,SC69150,SMALL HEART FLOWERS HOOK,11,2023-05-03 08:39:56.639327,19.53,C1394,Germany,214.83
INV500030,SC75725,PAPER CHAIN KIT VINTAGE CHRISTMAS,11,2023-01-11 08:44:33.174634,2.48,C1149,United Kingdom,27.28
INV500031,SC94654,STRAWBERRY CERAMIC TRINKET BOX,18,2023-07-12 19:07:02.724544,5.41,C1340,United Kingdom,97.38
INV500032,SC45773,BLUE POLKADOT MADELEINE GIFT BAG,18,2023-11-01 19:02:26.189237,5.4,C1218,Switzerland,97.2
INV500033,SC77435,COLOURING PENCILS BROWN TUBE,10,2022-01-08 13:59:41.276255,8.33,C1081,France,83.3
INV500034,SC66886,LARGE LETTER BOX KINGS ROAD,2,2022-01-22 13:59:06.709341,0.77,C1189,United Kingdom,1.54
INV500035,SC76803,MAGIC DRAWING SLATE,9,2022-03-15 04:56:59.243848,1.45,C1233,France,13.049999999999999
INV500036,SC41551,GINGERBREAD MAN COOKIE CUTTER,14,2022-05-07 17:24:47.097419,4.88,C1175,Germany,68.32
INV500037,SC21394,PACK OF 12 LONDON TISSUES,19,2023-05-29 11:08:52.186437,2.98,C1231,United Kingdom,56.62
INV500038,SC79092,JUMBO BAG RED RETROSPOT,10,2023-09-22 02:34:06.649329,2.96,C1357,United Kingdom,29.6
INV500039,SC13890,METAL SIGN TAKE IT OR LEAVE IT,4,2023-07-19 12:06:46.161232,1.05,C1477,Portugal,4.2
INV500040,SC51606,BROCADE RING PURSE,6,2022-07-09 13:52:11.906381,1.49,C1062,United Kingdom,8.94
INV500041,SC90038,IVORY KNITTED MUG COSY,14,2022-12-31 10:15:00.180036,2.71,C1434,United Kingdom,37.94
INV500042,SC97313,BLUE POLKADOT MADELEINE GIFT BAG,4,2023-08-12 03:05:47.829565,1.47,C1428,United Kingdom,5.88
INV500043,SC20627,STRAWBERRY CERAMIC TRINKET BOX,15,2023-04-25 15:10:15.723144,1.21,C1494,Spain,18.15
INV500044,SC18792,SET 12 COLOUR PENCILS DOLLY GIRL,16,2023-12-06 19:00:59.771954,0.78,C1236,USA,12.48
INV500045,SC83969,STRAWBERRY LUNCH BOX WITH CUTLERY,7,2023-07-16 21:06:52.642528,1.01,C1032,Switzerland,7.07
INV500046,SC53001,STAINLESS STEEL KITCHEN COLANDER,17,2022-12-24 10:15:17.463492,4.89,C1212,Spain,83.13
INV500047,SC86552,REGENCY CAKESTAND 3 TIER,19,2023-10-02 11:03:41.084216,4.31,C1059,USA,81.88999999999999
INV500048,SC33897,IVORY KNITTED MUG COSY,19,2022-02-19 06:57:58.295659,0.64,C1378,France,12.16
INV500049,SC78148,METAL SIGN TAKE IT OR LEAVE IT,17,2023-02-16 19:43:03.156631,1.18,C1001,Netherlands,20.06
INV500050,SC33483,STRAWBERRY CERAMIC TRINKET BOX,6,2022-09-04 21:19:50.398079,2.97,C1396,USA,17.82
INV500051,SC58555,FANCY FONT HOME SWEET HOME DOORMAT,11,2022-05-24 18:54:04.968993,1.67,C1449,United Kingdom,18.369999999999997
INV500052,SC27159,RECYCLED ACAPULCO MAT,16,2023-05-24 22:39:03.348669,5.7,C1056,Germany,91.2
INV500053,SC90077,IVORY KNITTED MUG COSY,8,2023-02-03 13:13:35.923184,5.11,C1426,Netherlands,40.88
INV500054,SC45920,RECYCLED ACAPULCO MAT,11,2023-07-04 08:07:23.608721,7.17,C1300,USA,78.87
INV500055,SC77121,PACK OF 6 BIRDY GIFT TAGS,7,2023-08-18 09:35:32.346469,2.98,C1286,Portugal,20.86
INV500056,SC79479,BROCADE RING PURSE,19,2022-10-20 12:47:57.695539,1.8,C1137,Switzerland,34.2
INV500057,SC99475,FELT CHRISTMAS TREE WITH BAUBLES,10,2023-03-30 02:11:21.256251,3.29,C1278,USA,32.9
INV500058,SC29457,RED RETROSPOT MINI CASES,9,2023-10-14 13:33:11.198239,0.78,C1213,United Kingdom,7.0200000000000005
INV500059,SC76557,HEART OF WICKER SMALL,4,2023-05-01 14:40:00.960192,0.53,C1238,United Kingdom,2.12
,SC87189,HAND WARMER UNION JACK,15,2023-03-20 11:11:45.021004,0.55,C1284,United Kingdom,8.25
INV500061,SC88953,DOORMAT NEW ENGLAND,13,2022-03-19 06:56:49.161832,2.07,C1480,United Kingdom,26.909999999999997
INV500062,SC62995,ZINC WILLIE WINKIE  CANDLE STICK,2,2022-05-15 14:24:27.653530,1.28,C1030,United Kingdom,2.56
INV500063,SC50757,CHRISTMAS GINGHAM STAR,2,2023-08-24 12:35:17.223444,1.01,C1205,United Kingdom,2.02
INV500064,SC19692,MEDIUM CERAMIC TOP STORAGE JAR,16,2022-02-04 23:58:33.582716,3.37,C1457,United Kingdom,53.92
INV500065,SC55758,IVORY KNITTED MUG COSY,9,2022-10-04 11:48:37.303460,16.45,C1273,USA,148.04999999999998
INV500066,SC82409,LARGE CHINESE STYLE BOWL,13,2023-04-30 17:40:03.120624,1.09,C1010,United Kingdom,14.170000000000002
,SC81211,HAND WARMER UNION JACK,3,2022-04-29 13:25:07.261452,2.87,C1358,Switzerland,8.61
INV500068,SC75697,PAPER CHAIN KIT VINTAGE CHRISTMAS,9,2023-11-24 16:31:29.657931,0.88,C1046,Australia,7.92
INV500069,SC47065,WHITE HANGING HEART T-LIGHT HOLDER,13,2022-04-25 00:55:18.423684,8.67,C1002,United Kingdom,112.71
INV500070,SC42606,ZINC WILLIE WINKIE  CANDLE STICK,2,2023-08-15 08:05:39.907981,1.53,C1129,United Kingdom,3.06
INV500071,SC21534,CAT BOWL PINK,8,2022-01-02 00:29:57.479495,6.82,C1437,Netherlands,54.56
INV500072,SC50397,ROUND SNACK BOXES SET OF 4 WOODLAND,9,2023-07-05 05:07:21.448289,1.5,C1071,France,13.5
INV500073,SC11016,JUMBO BAG WOODLAND ANIMALS,16,2023-11-13 00:31:58.463692,5.42,C1158,United Kingdom,86.72
INV500074,SC99789,PACK OF 12 LONDON TISSUES,2,2023-04-03 18:11:09.733946,1.2,C1391,United Kingdom,2.4
INV500075,SC65591,HAND WARMER UNION JACK,6,2023-07-07 13:07:15.687137,1.54,C1426,United Kingdom,9.24
INV500076,SC99812,SET 12 COLOUR PENCILS DOLLY GIRL,8,2023-08-14 18:05:41.348269,1.14,C1431,United Kingdom,9.12
INV500077,SC33247,HEART OF WICKER SMALL,5,2022-03-17 09:26:53.842768,1.42,C1129,United Kingdom,7.1
INV500078,SC34300,JUMBO STORAGE BAG SUKI,9,2023-04-11 04:40:51.370274,5.9,C1021,United Kingdom,53.1
INV500079,SC84065,LARGE CHINESE STYLE BOWL,1,2023-03-29 08:41:23.056611,3.56,C1379,Germany,3.56
INV500080,SC92798,PACK OF 72 RETROSPOT CAKE CASES,9,2023-10-30 14:32:31.590318,2.06,C1388,USA,18.54
INV500081,SC19268,NATURAL SLATE HEART CHALKBOARD,10,2023-02-01 01:43:42.044408,11.18,C1134,France,111.8
INV500082,SC96807,VINTAGE UNION JACK MEMOBOARD,4,2022-03-26 06:56:31.878375,2.38,C1019,USA,9.52
INV500083,SC22185,VINTAGE UNION JACK MEMOBOARD,3,2023-10-16 14:33:06.157231,11.0,C1219,Spain,33.0
INV500084,SC73704,BAG 250g SWIRLY MARBLES,10,2023-10-20 06:02:57.155431,1.16,C1332,Netherlands,11.6
INV500085,SC96779,JUMBO STORAGE BAG SUKI,15,2022-09-29 23:18:48.465693,7.55,C1129,United Kingdom,113.25
,SC49099,WHITE HANGING HEART T-LIGHT HOLDER,11,2022-07-20 15:51:44.540908,0.54,C1031,United Kingdom,5.94
INV500087,SC18571,FANCY FONT HOME SWEET HOME DOORMAT,14,2023-03-05 10:42:22.108421,2.86,C1089,Switzerland,40.04
INV500088,SC48044,FELT CHRISTMAS TREE WITH BAUBLES,6,2022-05-12 23:24:34.134826,2.15,C1258,Australia,12.899999999999999
INV500089,SC61214,NOTEBOOK A7 IVORY,12,2022-05-21 13:54:12.890578,2.73,C1424,United Kingdom,32.76
INV500090,SC71228,ROUND SNACK BOXES SET OF 4 WOODLAND,13,2022-10-16 03:48:08.497699,2.92,C1297,United Kingdom,37.96
INV500091,SC58984,BLUE POLKADOT MADELEINE GIFT BAG,17,2023-11-26 00:01:26.417283,1.98,C1332,Spain,33.66
INV500092,SC50774,FANCY FONT HOME SWEET HOME DOORMAT,16,2023-12-19 11:30:28.445689,19.46,C1248,United Kingdom,311.36
INV500093,SC12568,CHRISTMAS GINGHAM STAR,3,2022-10-03 04:18:40.544108,11.75,C1468,United Kingdom,35.25
INV500094,SC72592,BROCADE RING PURSE,2,2022-12-23 20:15:18.903780,10.29,C1172,Spain,20.58
INV500095,SC77563,LARGE CHINESE STYLE BOWL,11,2022-05-25 12:24:03.168633,12.1,C1356,United Kingdom,133.1
INV500096,SC12695,SET 12 COLOUR PENCILS DOLLY GIRL,9,2023-06-03 13:38:39.583916,5.23,C1470,France,47.07000000000001
INV500097,SC58190,STAINLESS STEEL KITCHEN COLANDER,3,2023-08-01 08:06:14.474894,13.92,C1454,USA,41.76
INV500098,SC15258,RECYCLED ACAPULCO MAT,18,2023-06-10 13:38:22.300460,7.19,C1400,United Kingdom,129.42000000000002
INV500099,SC97538,RECYCLED ACAPULCO MAT,15,2022-06-07 22:23:30.042008,2.11,C1475,United Kingdom,31.65
INV500100,SC49504,FELT CHRISTMAS TREE WITH BAUBLES,14,2022-03-05 06:57:23.728745,5.11,C1383,United Kingdom,71.54
INV500101,SC43159,MEDIUM CERAMIC TOP STORAGE JAR,2,2022-01-03 21:59:52.798559,7.79,C1046,United Kingdom,15.58
INV500102,SC23986,SET OF 3 CAKE TINS PANTRY DESIGN,17,2023-03-03 02:42:27.869573,4.24,C1477,Spain,72.08
INV500103,SC71858,CERAMIC STAR XMAS DECORATION,8,2022-10-08 17:18:26.861372,2.15,C1196,United Kingdom,17.2
INV500104,SC22666,STRAWBERRY LUNCH BOX WITH CUTLERY,10,2022-08-03 15:51:09.973994,0.7,C1407,United Kingdom,7.0
INV500105,SC48660,GIRLS ALPHABET IRON ON PATCHES,18,2022-06-10 06:23:24.280856,5.48,C1454,United Kingdom,98.64000000000001
INV500106,SC13561,COLOURING PENCILS BROWN TUBE,19,2023-01-20 13:14:10.490098,9.66,C1378,United Kingdom,183.54
INV500107,SC36854,PACK OF 72 RETROSPOT CAKE CASES,8,2022-02-26 17:27:39.931986,1.85,C1033,United Kingdom,14.8
INV500108,SC74505,VINTAGE UNION JACK MEMOBOARD,8,2023-05-13 17:09:31.074214,0.99,C1253,France,7.92
INV500109,SC62251,PLASTERS IN TIN VINTAGE PAISLEY,3,2023-01-17 08:14:18.411682,1.69,C1247,United Kingdom,5.07
INV500110,SC32662,LARGE LETTER BOX KINGS ROAD,3,2022-07-17 10:51:52.462492,3.12,C1433,United Kingdom,9.36
INV500111,SC18392,CAT BOWL PINK,12,2023-10-22 07:02:52.114422,1.64,C1041,United Kingdom,19.68
INV500112,SC40535,ROUND SNACK BOXES SET OF 4 WOODLAND,17,2022-01-01 17:29:58.199639,3.33,C1288,Australia,56.61
INV500113,SC88603,PLASTERS IN TIN SKULL,4,2022-01-28 16:58:51.586317,10.72,C1122,United Kingdom,42.88
INV500114,SC62256,LARGE LETTER BOX KINGS ROAD,17,2022-01-22 10:29:07.069413,3.83,C1026,France,65.11
INV500115,SC99135,RECYCLED ACAPULCO MAT,14,2023-10-19 05:32:59.675935,1.85,C1461,Germany,25.900000000000002
INV500116,SC45222,JUMBO BAG RED RETROSPOT,19,2023-09-27 19:03:52.606521,8.74,C1058,Netherlands,166.06
INV500117,SC87373,FELT CHRISTMAS TREE WITH BAUBLES,9,2023-06-02 16:38:41.744348,3.0,C1146,United Kingdom,27.0
INV500118,SC89575,RED RETROSPOT MINI CASES,12,2023-12-19 08:00:28.805761,0.91,C1495,USA,10.92
INV500119,SC94651,BLUE POLKADOT MADELEINE GIFT BAG,5,2023-08-22 15:05:21.904380,2.57,C1114,Germany,12.85
INV500120,SC73335,MAGIC DRAWING SLATE,11,2022-06-11 20:53:20.320064,3.68,C1485,Switzerland,40.480000000000004
INV500121,SC20965,BROCADE RING PURSE,3,2023-07-13 23:06:59.843968,5.97,C1459,United Kingdom,17.91
INV500122,SC34538,SET OF 3 CAKE TINS PANTRY DESIGN,15,2023-12-21 09:00:23.764752,8.77,C1386,Netherlands,131.54999999999998
INV500123,SC80592,RED RETROSPOT MINI CASES,14,2022-04-01 23:56:15.315063,1.65,C1198,Spain,23.099999999999998
INV500124,SC18110,GIRLS ALPHABET IRON ON PATCHES,11,2023-08-25 13:05:14.702940,1.01,C1127,United Kingdom,11.11
,SC89309,MAGIC DRAWING SLATE,8,2022-11-14 04:16:56.843368,0.73,C1375,United Kingdom,5.84
INV500126,SC37266,JUMBO BAG RED RETROSPOT,4,2023-04-05 05:11:06.133226,4.52,C1482,France,18.08
INV500127,SC62992,GIRLS ALPHABET IRON ON PATCHES,12,2022-06-07 04:53:31.842368,5.26,C1152,United Kingdom,63.12
INV500128,SC92948,COLOURING PENCILS BROWN TUBE,8,2023-06-02 20:08:41.384276,2.08,C1368,Netherlands,16.64
INV500129,SC16910,PARTY BUNTING,6,2022-12-09 23:45:53.110622,2.01,C1270,United Kingdom,12.059999999999999
INV500130,SC10206,CERAMIC STAR XMAS DECORATION,15,2022-03-21 11:26:43.760752,9.75,C1338,United Kingdom,146.25
INV500131,SC97054,SMALL HEART FLOWERS HOOK,12,2022-06-24 06:22:49.713942,7.96,C1443,France,95.52
INV500132,SC97897,LARGE LETTER BOX KINGS ROAD,16,2022-10-29 17:17:35.011002,1.3,C1082,United Kingdom,20.8
INV500133,SC33419,FANCY FONT HOME SWEET HOME DOORMAT,16,2023-05-05 16:39:50.878175,5.05,C1022,USA,80.8
INV500134,SC60636,DOORSTOP UNION JACK,4,2022-12-22 12:45:22.144428,3.42,C1010,Switzerland,13.68
INV500135,SC60015,STRAWBERRY CERAMIC TRINKET BOX,11,2022-03-31 19:56:18.195639,1.0,C1186,Germany,11.0
INV500136,SC64268,SET 12 COLOUR PENCILS DOLLY GIRL,13,2023-09-11 21:34:31.854370,1.82,C1468,Belgium,23.66
INV500137,SC97939,BROCADE RING PURSE,9,2023-05-03 12:09:56.279255,1.09,C1115,Portugal,9.81
INV500138,SC28141,PLASTERS IN TIN VINTAGE PAISLEY,4,2022-09-22 02:19:07.909581,1.55,C1161,United Kingdom,6.2
INV500139,SC90356,DOORSTOP UNION JACK,12,2022-01-25 22:28:58.427685,3.37,C1102,Switzerland,40.44
INV500140,SC81910,REGENCY CAKESTAND 3 TIER,9,2023-08-28 00:35:08.581716,1.91,C1242,United Kingdom,17.189999999999998
INV500141,SC66044,RED RETROSPOT MINI CASES,13,2022-04-02 03:26:14.954990,2.0,C1006,United Kingdom,26.0
INV500142,SC77214,CAT BOWL PINK,16,2023-08-16 12:05:37.027405,2.83,C1361,Germany,45.28
INV500143,SC43827,REGENCY CAKESTAND 3 TIER,6,2022-11-25 16:46:28.397679,0.77,C1171,France,4.62
INV500144,SC65820,FELT CHRISTMAS TREE WITH BAUBLES,10,2022-03-07 21:57:17.247449,4.53,C1255,United Kingdom,45.300000000000004
INV500145,SC72623,MAGIC DRAWING SLATE,13,2022-07-26 18:51:29.417883,2.04,C1246,United Kingdom,26.52
INV500146,SC91734,WHITE HANGING HEART T-LIGHT HOLDER,7,2022-04-20 19:25:28.865773,2.46,C1474,Germany,17.22
INV500147,SC85450,NOTEBOOK A7 IVORY,19,2023-05-07 17:39:45.837167,11.48,C1191,United Kingdom,218.12
INV500148,SC32299,METAL SIGN TAKE IT OR LEAVE IT,19,2023-02-02 02:13:39.523904,1.77,C1113,Spain,33.63
INV500149,SC53585,PACK OF 6 BIRDY GIFT TAGS,17,2023-03-15 22:41:56.183236,3.63,C1022,France,61.71
INV500150,SC74044,FELT CHRISTMAS TREE WITH BAUBLES,13,2023-03-01 12:12:31.830366,2.0,C1357,United Kingdom,26.0
INV500151,SC52557,LARGE CHINESE STYLE BOWL,13,2022-06-28 15:22:38.911782,7.24,C1313,United Kingdom,94.12
INV500152,SC59080,JUMBO STORAGE BAG SUKI,2,2022-01-25 08:28:59.867973,6.13,C1275,Germany,12.26
INV500153,SC12693,VINTAGE UNION JACK MEMOBOARD,10,2023-06-22 09:07:53.134626,1.33,C1410,United Kingdom,13.3
INV500154,SC79163,PLASTERS IN TIN SKULL,13,2022-01-13 09:29:29.393878,4.03,C1372,United Kingdom,52.39
INV500155,SC35939,PACK OF 12 LONDON TISSUES,9,2022-09-02 13:19:56.159231,0.7,C1443,United Kingdom,6.3
INV500156,SC58925,STRAWBERRY LUNCH BOX WITH CUTLERY,1,2022-10-17 00:48:06.337267,10.41,C1135,United Kingdom,10.41
INV500157,SC52941,PARTY BUNTING,14,2023-12-22 23:30:19.803960,1.79,C1356,United Kingdom,25.060000000000002
INV500158,SC31834,GIRLS ALPHABET IRON ON PATCHES,16,2022-08-05 16:51:04.932986,5.85,C1194,United Kingdom,93.6
INV500159,SC28047,ZINC WILLIE WINKIE  CANDLE STICK,15,2022-03-06 07:27:21.208241,1.65,C1257,Netherlands,24.75
INV500160,SC36105,BAG 250g SWIRLY MARBLES,1,2022-02-09 08:58:22.780556,3.51,C1277,Germany,3.51
INV500161,SC85766,HAND WARMER UNION JACK,17,2022-02-20 00:27:56.495299,12.83,C1069,Belgium,218.11
INV500162,SC25707,PAPER CHAIN KIT VINTAGE CHRISTMAS,13,2022-06-25 20:52:45.753150,6.78,C1358,United Kingdom,88.14
INV500163,SC31976,PACK OF 12 LONDON TISSUES,15,2023-03-26 07:11:30.618123,1.02,C1359,United Kingdom,15.3
INV500164,SC54262,JUMBO STORAGE BAG SUKI,16,2022-07-03 07:22:27.389477,2.88,C1035,Germany,46.08
INV500165,SC33776,CHRISTMAS GINGHAM STAR,16,2022-12-01 02:16:15.075015,1.79,C1107,France,28.64
INV500166,SC40080,PLASTERS IN TIN SKULL,2,2022-08-12 09:50:48.369673,2.21,C1023,France,4.42
INV500167,SC76842,NATURAL SLATE HEART CHALKBOARD,17,2023-05-15 00:39:27.833566,1.72,C1139,Netherlands,29.24
INV500168,SC71373,PACK OF 72 RETROSPOT CAKE CASES,11,2023-09-29 02:33:49.365873,1.73,C1464,France,19.03
INV500169,SC16776,GINGERBREAD MAN COOKIE CUTTER,8,2022-08-30 01:20:04.800960,2.85,C1021,United Kingdom,22.8
INV500170,SC65016,JUMBO BAG WOODLAND ANIMALS,3,2023-12-29 09:30:03.960792,1.14,C1338,France,3.42
INV500171,SC19474,ASSORTED COLOUR BIRD ORNAMENT,12,2022-02-04 16:58:34.302860,2.81,C1328,Netherlands,33.72
INV500172,SC68053,PLASTERS IN TIN SKULL,16,2022-05-14 06:54:30.894178,1.48,C1203,USA,23.68
INV500173,SC31959,NOTEBOOK A7 IVORY,14,2022-07-29 16:51:22.216443,1.52,C1379,France,21.28
INV500174,SC15530,HAND WARMER UNION JACK,16,2023-03-16 19:41:54.022804,4.53,C1223,France,72.48
INV500175,SC13748,SMALL HEART FLOWERS HOOK,17,2022-08-01 21:51:14.294858,0.59,C1222,United Kingdom,10.03
INV500176,SC23545,CHILDRENS CUTLERY DOLLY GIRL,11,2023-03-26 00:11:31.338267,1.94,C1080,Switzerland,21.34
INV500177,SC76199,FELT CHRISTMAS TREE WITH BAUBLES,17,2022-11-26 06:46:26.957391,2.07,C1406,USA,35.19
INV500178,SC44766,DOORMAT NEW ENGLAND,19,2022-02-23 08:57:48.213642,2.49,C1329,Spain,47.31
INV500179,SC83530,RED RETROSPOT MINI CASES,1,2023-03-13 04:12:03.024604,3.82,C1190,Germany,3.82
INV500180,SC71087,ASSORTED COLOUR BIRD ORNAMENT,12,2023-06-30 13:07:32.970594,1.88,C1285,United Kingdom,22.56
INV500181,SC78840,PLASTERS IN TIN SKULL,15,2022-01-13 09:29:29.393878,1.22,C1146,Netherlands,18.3
INV500182,SC64384,LUNCH BAG RED RETROSPOT,18,2022-12-30 13:15:02.340468,6.99,C1281,France,125.82000000000001
INV500183,SC61005,ASSORTED COLOUR BIRD ORNAMENT,14,2023-11-19 14:01:42.260452,12.4,C1473,Spain,173.6
INV500184,SC56576,BAG 250g SWIRLY MARBLES,1,2022-01-20 02:29:12.830566,0.56,C1383,United Kingdom,0.56
INV500185,SC49353,PACK OF 12 LONDON TISSUES,13,2022-05-12 16:24:34.854970,2.87,C1010,France,37.31
INV500186,SC72003,LARGE LETTER BOX KINGS ROAD,15,2023-05-19 23:39:15.591118,1.75,C1275,United Kingdom,26.25
INV500187,SC93211,HEART OF WICKER SMALL,7,2022-06-28 01:22:40.352070,1.47,C1373,Netherlands,10.29
INV500188,SC62733,CAT BOWL PINK,15,2022-09-15 02:19:25.193038,1.73,C1055,United Kingdom,25.95
INV500189,SC75318,JUMBO STORAGE BAG SUKI,10,2023-02-13 21:43:10.358071,3.56,C1172,France,35.6
INV500190,SC99474,PLASTERS IN TIN VINTAGE PAISLEY,14,2022-06-28 18:52:38.551710,1.13,C1451,United Kingdom,15.819999999999999
INV500191,SC33664,ZINC WILLIE WINKIE  CANDLE STICK,6,2022-07-07 05:52:17.667533,7.82,C1302,United Kingdom,46.92
INV500192,SC77172,SMALL HEART FLOWERS HOOK,14,2022-04-11 11:25:51.910382,2.38,C1203,Germany,33.32
INV500193,SC95616,PAPER CHAIN KIT VINTAGE CHRISTMAS,12,2023-11-29 08:31:18.135627,1.68,C1344,United Kingdom,20.16
INV500194,SC36736,JUMBO BAG WOODLAND ANIMALS,11,2023-12-13 19:00:42.488497,4.85,C1247,France,53.349999999999994
INV500195,SC10854,MEDIUM CERAMIC TOP STORAGE JAR,19,2023-10-09 18:03:23.080616,0.55,C1313,USA,10.450000000000001
INV500196,SC48623,CHRISTMAS GINGHAM STAR,2,2023-10-20 06:02:57.155431,2.2,C1265,USA,4.4
INV500197,SC17392,STRAWBERRY LUNCH BOX WITH CUTLERY,1,2022-10-19 01:48:01.296259,1.82,C1021,United Kingdom,1.82
INV500198,SC65680,CHILDRENS CUTLERY DOLLY GIRL,8,2023-10-01 21:03:42.524504,1.74,C1326,Spain,13.92
INV500199,SC56717,JUMBO STORAGE BAG SUKI,14,2022-06-11 17:23:20.680136,1.73,C1023,United Kingdom,24.22
INV500200,SC97092,MEDIUM CERAMIC TOP STORAGE JAR,9,2023-12-23 03:00:19.443888,0.6,C1193,Australia,5.3999999999999995
INV500201,SC60859,PARTY BUNTING,2,2022-03-04 13:27:25.529105,1.0,C1095,Spain,2.0
INV500202,SC36309,MEDIUM CERAMIC TOP STORAGE JAR,5,2023-08-25 16:35:14.342868,0.96,C1468,United Kingdom,4.8
INV500203,SC97455,PACK OF 6 BIRDY GIFT TAGS,8,2023-07-06 09:07:18.567713,13.93,C1444,United Kingdom,111.44
INV500204,SC73734,PACK OF 6 BIRDY GIFT TAGS,16,2022-03-29 18:56:23.236647,0.57,C1262,United Kingdom,9.12
INV500205,SC80467,WHITE HANGING HEART T-LIGHT HOLDER,16,2022-03-06 00:27:21.928385,1.05,C1071,Spain,16.8
INV500206,SC62662,GINGERBREAD MAN COOKIE CUTTER,13,2022-05-24 11:54:05.689137,11.47,C1242,United Kingdom,149.11
INV500207,SC22688,JUMBO BAG RED RETROSPOT,15,2022-10-07 16:48:29.381876,3.47,C1382,France,52.050000000000004
INV500208,SC35342,IVORY KNITTED MUG COSY,1,2023-10-20 06:02:57.155431,2.3,C1037,Germany,2.3
,SC47157,ASSORTED COLOUR BIRD ORNAMENT,3,2022-03-18 20:26:50.242048,0.75,C1404,USA,2.25
INV500210,SC77863,RECYCLED ACAPULCO MAT,6,2023-10-05 09:03:33.882776,3.82,C1391,USA,22.919999999999998
